disease,symptoms,aliases
urethral disorder,abusing alcohol;involuntary urination;painful urination;retention of urine;sharp abdominal pain;side pain;suprapubic pain;vomiting,
urethral stricture,blood in urine;involuntary urination;painful urination;retention of urine;suprapubic pain;symptoms of bladder;symptoms of prostate;symptoms of the scrotum and testes,
urethral valves,elbow weakness;lower abdominal pain;sharp abdominal pain;side pain;suprapubic pain,
urethritis,blood in urine;frequent urination;painful urination;penile discharge;penis pain;retention of urine;sharp abdominal pain;suprapubic pain;vaginal itching,
urge incontinence,blood in urine;constipation;excessive urination at night;frequent urination;involuntary urination;painful urination;retention of urine;symptoms of bladder;vaginal itching,
urinary tract infection,back pain;blood in urine;fever;frequent urination;lower abdominal pain;nausea;painful urination;retention of urine;side pain;suprapubic pain;vomiting,
urinary tract obstruction,back pain;blood in urine;excessive urination at night;frequent urination;painful urination;retention of urine;sharp abdominal pain;side pain;suprapubic pain;symptoms of prostate,
uterine atony,back cramps or spasms;blood in urine;intermenstrual bleeding;lower abdominal pain;pain during pregnancy;problems during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy;uterine contractions,
uterine cancer,groin mass;pelvic pain;vaginal bleeding after menopause,
uterine fibroids,cramps and spasms;heavy menstrual flow;intermenstrual bleeding;involuntary urination;lower abdominal pain;painful menstruation;pelvic pain;sharp abdominal pain;unpredictable menstruation,
uveitis,diminished vision;elbow weakness;symptoms of eye,
vacterl syndrome,emotional symptoms;suprapubic pain,
vaginal cyst,blood clots during menstrual periods;cramps and spasms;heavy menstrual flow;intermenstrual bleeding;lower abdominal pain;pain during pregnancy;pelvic pain;problems during pregnancy;sharp abdominal pain;spotting or bleeding during pregnancy;vaginal discharge;vaginal pain,
vaginal yeast infection,itching of skin;lower abdominal pain;painful urination;sharp abdominal pain;suprapubic pain;vaginal discharge;vaginal itching;vaginal pain;vaginal redness;vulvar irritation,
vaginismus,lower abdominal pain;pain during intercourse;pelvic pain;sharp abdominal pain;suprapubic pain;vaginal pain,
vaginitis,lower abdominal pain;pain during intercourse;pain during pregnancy;painful urination;pelvic pain;sharp abdominal pain;suprapubic pain;vaginal discharge;vaginal itching;vaginal pain;vaginal redness,
valley fever,fever;hand or finger pain;shortness of breath;shoulder swelling,
varicocele of the testicles,groin pain;infertility;involuntary urination;lower abdominal pain;mass in scrotum;pain in testicles;pain of the anus;skin growth;swelling of scrotum;symptoms of the scrotum and testes,
varicose veins,ache all over;leg cramps or spasms;leg lump or mass;leg pain;leg swelling;lymphedema;peripheral edema;skin lesion,
vasculitis,dizziness;foot or toe swelling;headache;leg pain;leg stiffness or tightness;lymphedema;skin lesion;skin rash,
venous insufficiency,abnormal appearing skin;burning chest pain;fluid retention;leg cramps or spasms;leg pain;lymphedema;skin lesion;skin on leg or foot looks infected,
vertebrobasilar insufficiency,back pain;dizziness;leg pain;sharp chest pain,
vesicoureteral reflux,blood in urine;fever;involuntary urination;suprapubic pain,
viral exanthem,abnormal appearing skin;cough;decreased appetite;fever;itching of skin;nasal congestion;pulling at ears;skin rash;skin swelling;vomiting,
viral hepatitis,abusing alcohol;hand or finger stiffness or tightness;melena;sharp abdominal pain;stomach bloating,
viral warts,abnormal appearing skin;acne or pimples;bumps on penis;lip swelling;skin growth;skin lesion;skin moles;skin swelling;warts,
vitamin a deficiency,hand or finger pain;knee lump or mass,
vitamin b12 deficiency,disturbance of memory;fatigue;hot flashes;knee stiffness or tightness;problems with movement,
vitamin d deficiency,arm stiffness or tightness;fatigue;hot flashes,
vitreous degeneration,diminished vision;double vision;eye redness;foreign body sensation in eye;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
vitreous hemorrhage,blindness;diminished vision;lacrimation;pain in eye;spots or clouds in vision;symptoms of eye,
vocal cord polyp,difficulty speaking;hoarse voice;sore throat;throat feels tight;throat swelling,
volvulus,depressive or psychotic symptoms;elbow weakness;sharp abdominal pain;vomiting,
von willebrand disease,blood in stool;muscle swelling;nosebleed,
vulvar cancer,back pain;emotional symptoms;insomnia,
vulvar disorder,"pain during intercourse;skin dryness, peeling, scaliness, or roughness;vaginal discharge;vaginal itching;vaginal pain;vulvar irritation",
vulvodynia,back pain;burning abdominal pain;cramps and spasms;lower abdominal pain;nausea;pain during pregnancy;painful urination;pelvic pain;sharp abdominal pain;side pain;vaginal discharge;vaginal pain,
wernicke korsakoff syndrome,abusing alcohol;anxiety and nervousness;depressive or psychotic symptoms,
white blood cell disease,chills;cough;diarrhea;fatigue;fever;heartburn;nausea;sharp abdominal pain;vomiting,
whooping cough,cough;nasal congestion;shortness of breath;sore throat;vomiting,
wilson disease,cough;insomnia;sleepiness,
yeast infection,diaper rash;frequent urination;pelvic pain;sharp abdominal pain;skin rash;suprapubic pain;vaginal discharge;vaginal itching;vaginal pain,
zenker diverticulum,elbow weakness;sharp chest pain;sore throat,
